Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-11-17,2023-11-18,0936,FOURTH & RACE REDEVELO,Gas/Automotive,7.00,
2023-11-16,2023-11-17,0936,DUNKIN #349677,Dining,7.53,
2023-11-16,2023-11-17,0936,TST* LISTERMANN BREWIN,Dining,8.88,
2023-11-16,2023-11-17,0936,KROGER #418,Merchandise,19.79,
2023-11-15,2023-11-17,0936,WENDYS 246,Dining,14.06,
2023-11-15,2023-11-16,0936,EB QUEEN CITY CON,Other Services,50.00,
2023-11-15,2023-11-15,0936,MCALISTER'S 1113,Dining,19.15,
2023-11-13,2023-11-14,0936,MCDONALD'S F236,Dining,8.59,
2023-11-12,2023-11-13,0936,KROGER #465,Merchandise,24.47,
2023-11-11,2023-11-13,0936,STARBUCKS 800-782-7282,Dining,15.00,
2023-11-11,2023-11-13,0936,TJMAXX #0056,Merchandise,19.99,
2023-11-11,2023-11-13,0936,MARSHALLS #1101,Merchandise,26.94,
2023-11-10,2023-11-13,0936,2768PEPSIVEN9147678600,Dining,2.25,

