Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-10-17,2023-10-17,5261,CAPITAL ONE ONLINE PYMT,Payment/Credit,,41.14
2023-10-17,2023-10-17,5261,AMZN Mktp US*TP6JQ6YP0,Merchandise,14.58,
2023-10-17,2023-10-17,5261,AMZN Mktp US*TD8Z34C10,Merchandise,32.97,
2023-10-16,2023-10-17,5261,AMAZON.COM*TP37H6W50,Merchandise,25.40,
2023-10-16,2023-10-17,5261,AMZN Mktp US*TP2QZ9QY2,Merchandise,31.77,
2023-10-16,2023-10-17,0013,SNACK SODA VENDING,Dining,1.85,
2023-10-16,2023-10-16,5261,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3000.00
2023-10-15,2023-10-16,5261,WALGREENS #2924,Healthcare,45.82,
2023-10-14,2023-10-16,5261,HUMANA CLOCKTOWER FIT,Other,16.96,
2023-10-15,2023-10-16,5261,KROGER #224,Merchandise,5.98,
2023-10-14,2023-10-16,5261,KROGER #5224,Merchandise,53.08,
2023-10-13,2023-10-16,5261,BLUE DOG BAKERY & CAFE,Dining,11.80,
2023-10-14,2023-10-16,0013,Rally House 017,Merchandise,65.54,
2023-10-13,2023-10-16,0013,APPLEBEES 8127,Dining,3.24,
2023-10-13,2023-10-16,0013,APPLEBEES 8127,Dining,7.59,
2023-10-13,2023-10-14,5261,BIRCHBOX,Merchandise,18.02,
2023-10-13,2023-10-13,5261,AMZN Mktp US*TP2ER7TX0,Merchandise,7.41,
2023-10-12,2023-10-13,5261,AMAZON.COM*TP9RI4T90,Merchandise,47.31,
2023-10-12,2023-10-13,5261,AMZN MKTP US*TP88W0LX2,Merchandise,47.69,
2023-10-12,2023-10-13,5261,AMAZON.COM*TE1LI7BG1,Merchandise,15.89,
2023-10-11,2023-10-13,5261,KROGER #5224,Merchandise,34.31,
2023-10-12,2023-10-13,5261,ViaSat Inc Internet,Internet,227.02,
2023-10-11,2023-10-12,5261,WATERSIDE CAFE,Dining,9.72,
2023-10-11,2023-10-12,5261,CANTEEN VENDING V,Dining,1.85,
2023-10-11,2023-10-12,5261,CANTEEN VENDING V,Dining,1.85,
2023-10-11,2023-10-12,5261,TMOBILE*AUTO PAY,Phone/Cable,155.00,
