Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-11-03,2023-11-03,0936,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,14.75
2023-11-02,2023-11-03,0936,SPEEDWAY 08065 1335 S.,Gas/Automotive,3.49,
2023-11-01,2023-11-02,0936,TARGET        00014472,Merchandise,10.23,
2023-10-31,2023-11-01,0936,KROGER #402,Merchandise,24.55,
2023-10-29,2023-10-30,0936,DUNKIN #349677,Dining,16.72,
2023-10-29,2023-10-30,0936,KROGER #418,Merchandise,29.22,
2023-10-28,2023-10-30,0936,BRUEGGERS 3759,Dining,11.18,
2023-10-28,2023-10-30,0936,2203 Great Clips at Ma,Other Services,23.00,
2023-10-28,2023-10-28,0936,TST* LEVEL ONE BAR AND,Dining,17.88,
2023-10-26,2023-10-27,0936,PAPA JOHN'S #206,Dining,60.00,
2023-10-26,2023-10-27,0936,KROGER #465,Merchandise,29.44,
2023-10-26,2023-10-27,0936,TARGET        00025577,Merchandise,31.17,
2023-10-25,2023-10-27,0936,BJ'S RESTAURANTS 614,Dining,84.18,
2023-10-25,2023-10-26,0936,KROGER #465,Merchandise,19.40,
2023-10-25,2023-10-25,0936,AMZN Mktp US*2B25I0Z93,Merchandise,36.62,
2023-10-22,2023-10-23,0936,DOLLAR GENERAL #19252,Merchandise,9.16,
2023-10-22,2023-10-23,0936,PANDA EXPRESS #2288,Dining,15.00,
2023-10-22,2023-10-23,0936,KROGER #465,Merchandise,33.79,
2023-10-22,2023-10-23,0936,TARGET        00014472,Merchandise,7.10,
2023-10-21,2023-10-23,0936,CAFE MOCHIKO,Dining,13.80,
2023-10-21,2023-10-23,0936,MCDONALD'S F32059,Dining,12.45,
2023-10-21,2023-10-23,0936,City of Cincinnati,Gas/Automotive,0.87,
2023-10-21,2023-10-23,0936,KROGER #418,Merchandise,19.99,
2023-10-20,2023-10-21,0936,TST* LISTERMANN BREWIN,Dining,16.62,
2023-10-20,2023-10-21,0936,KROGER #418,Merchandise,11.85,
2023-10-19,2023-10-20,0936,DOLLAR GENERAL #19252,Merchandise,9.12,
2023-10-17,2023-10-18,0936,PAR*SMOOTHIE KING SK17,Dining,19.49,
2023-10-17,2023-10-18,0936,KROGER #418,Merchandise,7.29,
2023-10-16,2023-10-18,0936,2768PEPSIVEN9147678600,Dining,2.25,
2023-10-15,2023-10-17,0936,MARATHON PETRO120170,Gas/Automotive,40.36,
2023-10-15,2023-10-16,0936,KROGER #402,Merchandise,22.88,
2023-10-15,2023-10-16,0936,PANERA BREAD #204907 P,Dining,18.33,
2023-10-14,2023-10-16,0936,STARBUCKS STORE 02575,Dining,8.40,
2023-10-14,2023-10-16,0936,KROGER #418,Merchandise,37.70,
2023-10-13,2023-10-16,0936,MOD OAKLEY,Dining,30.91,
2023-10-10,2023-10-11,0936,KROGER #465,Merchandise,45.08,
2023-10-08,2023-10-10,0936,SHEETZ 0724   00007245,Gas/Automotive,13.97,
2023-10-08,2023-10-09,0936,KROGER #418,Merchandise,14.75,

