Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-09-14,2023-09-16,5261,HUMANA CLOCKTOWER FIT,Other,16.96,
2023-09-15,2023-09-16,5261,Amazon.com*TR14O9Q51,Merchandise,24.55,
2023-09-15,2023-09-16,0013,SQ *ST. LOUIS DERMATOLOGY,Healthcare,50.00,
2023-09-15,2023-09-15,5261,CAPITAL ONE MOBILE PYMT,Payment/Credit,,4000.00
2023-09-15,2023-09-15,5261,MEDWATER,Healthcare,52.62,
2023-09-15,2023-09-15,5261,UNITED CRESCENT HILL M,Other Services,52.62,
2023-09-14,2023-09-15,5261,AMAZON.COM*TR7XH45U1,Merchandise,15.89,
2023-09-14,2023-09-15,5261,AMZN Mktp US*TR7T50HE1,Merchandise,79.89,
2023-09-14,2023-09-15,5261,UNITING PARTNERS FOR W,Other Services,52.62,
2023-09-14,2023-09-15,5261,HILDEGARD HOUSE INC,Other Services,52.62,
2023-09-14,2023-09-15,5261,"ST. JOHN CENTER, INC.",Other Services,418.77,
2023-09-13,2023-09-15,5261,KROGER #5224,Merchandise,38.20,
2023-09-14,2023-09-15,0405,KROGER #465,Merchandise,20.34,
2023-09-13,2023-09-14,5261,TM *THE SIMON GARFUNK,Entertainment,106.00,
2023-09-13,2023-09-14,0405,PANERA BREAD #204913 P,Dining,16.85,
2023-09-12,2023-09-13,5261,Viasat Internet US,Internet,227.02,
2023-09-12,2023-09-13,0013,AIRBNB HMHMNTYPCQ,Other Travel,818.76,
2023-09-12,2023-09-13,0405,KROGER #418,Merchandise,6.84,
2023-09-11,2023-09-12,5261,AMZN Mktp US*TR3CD7HR0,Merchandise,52.99,
2023-09-11,2023-09-12,5261,AMZN Mktp US*TR5H548F2,Merchandise,14.87,
2023-09-11,2023-09-12,5261,TMOBILE*AUTO PAY,Phone/Cable,155.00,
2023-09-11,2023-09-12,5261,AMZN Mktp US*TR9LZ55K0,Merchandise,6.33,
2023-09-11,2023-09-12,0013,SQ *GOSHEN COFFEE,Dining,10.00,
2023-09-10,2023-09-11,5261,HP *INSTANT INK,Merchandise,6.35,
2023-09-10,2023-09-11,5261,BESPOKE POST,Merchandise,57.19,
2023-09-09,2023-09-11,0013,ALDI 41047,Merchandise,37.30,
2023-09-10,2023-09-11,0013,SQ *COFFEE CULTURE LLC,Dining,9.63,
2023-09-09,2023-09-11,5261,Prime Video Channels,Entertainment,6.31,
2023-09-08,2023-09-11,5261,PENN STATION - 327 - ECOM,Dining,11.21,
2023-09-09,2023-09-11,0405,FOURTH & RACE REDEVELOP,Gas/Automotive,8.00,
2023-09-09,2023-09-11,0405,UBER   TRIP,Other Travel,20.16,
2023-09-08,2023-09-09,0405,TST* High Grain,Dining,21.24,
2023-09-09,2023-09-09,0405,TST* NADA CINCINNATI,Dining,100.09,
2023-09-09,2023-09-09,0405,UBER   TRIP,Other Travel,18.73,
2023-09-08,2023-09-08,5261,APPLE.COM/BILL,Entertainment,18.00,
2023-09-07,2023-09-08,5261,AMAZON.COM*TR6Y76LV2,Merchandise,34.72,
2023-09-07,2023-09-08,0405,KROGER #465,Merchandise,64.33,
2023-09-05,2023-09-07,5261,KROGER #5224,Merchandise,27.18,
2023-09-06,2023-09-07,5261,NETFLIX.COM,Phone/Cable,16.33,
2023-09-06,2023-09-07,5261,CIRQUE SOLEIL ORLANDO,Entertainment,241.42,
2023-09-06,2023-09-07,0013,SCHNUCKS LINDELL,Merchandise,4.40,
2023-09-04,2023-09-06,0013,AMC 0006 ESQUIRE 7,Entertainment,28.44,
2023-09-05,2023-09-06,0405,MCDONALD'S F236,Dining,6.98,
2023-09-04,2023-09-06,0405,SHEETZ 0387   00003871,Gas/Automotive,10.68,
2023-09-05,2023-09-05,5261,Prime Video Channels,Entertainment,6.31,
2023-09-04,2023-09-05,0013,CIRCLE K # 01334,Gas/Automotive,36.93,
2023-09-03,2023-09-05,0013,HUCK'S FOOD & FUEL STO,Gas/Automotive,32.01,
2023-09-04,2023-09-05,0405,KROGER #465,Merchandise,32.56,
2023-09-04,2023-09-05,0405,KROGER #418,Merchandise,5.49,
2023-09-03,2023-09-05,0405,ARSENAL CIDER HOUSE,Dining,23.00,
2023-09-02,2023-09-04,5261,AMERICAN AIR0018037105015,Airfare,113.20,
2023-09-02,2023-09-04,5261,AMERICAN AIR0018037105014,Airfare,113.20,
2023-09-02,2023-09-04,5261,UNITED      0162323954960,Airfare,121.69,
2023-09-02,2023-09-04,5261,UNITED      0162323954959,Airfare,121.69,
2023-09-03,2023-09-04,5261,SXM*SIRIUSXM.COM/ACCT,Phone/Cable,72.89,
2023-09-03,2023-09-04,0405,WINE AND SPIRITS 9208,Merchandise,31.12,
2023-09-03,2023-09-04,0405,SPIRIT HALLOWEEN 60499,Merchandise,29.00,
2023-09-03,2023-09-04,5261,SPOTIFY,Phone/Cable,11.65,
2023-09-02,2023-09-04,5261,Orbitz*72646810062049,Other Travel,8.67,
2023-09-01,2023-09-04,0405,SHEETZ 0387   00003871,Gas/Automotive,7.67,
2023-09-02,2023-09-02,5261,SQ *STILL LAKE MARINE,Merchandise,604.45,
2023-09-01,2023-09-02,5261,LYFT   *RIDE THU 10PM,Other Travel,26.35,
2023-08-31,2023-09-02,5261,COLD STONE AS1 MCO,Dining,9.57,
2023-09-01,2023-09-02,0013,Spectrum,Phone/Cable,79.99,
2023-09-01,2023-09-02,0405,UNITED DAIRY FARMERS,Gas/Automotive,2.79,
2023-09-01,2023-09-02,0405,LINODE . AKAMAI,Internet,15.47,
2023-08-31,2023-09-02,0405,SHELL OIL 57443023205,Gas/Automotive,43.16,
2023-08-31,2023-09-01,5261,LYFT   *RIDE THU 11AM,Other Travel,29.99,
2023-08-31,2023-09-01,5261,Spotify USA,Phone/Cable,11.65,
2023-08-30,2023-09-01,5261,SPIRIT AIRL 4870361507728,Airfare,31.00,
2023-08-31,2023-09-01,5261,Amazon.com*TL07814N2,Merchandise,15.89,
2023-08-31,2023-09-01,0013,"MAURANDA N. JONES, LCS",Health Care,10.00,
2023-08-31,2023-09-01,0405,DUNKIN #348927,Dining,4.39,
2023-08-31,2023-09-01,0405,CVS/PHARMACY #06111,Health Care,6.28,
2023-08-31,2023-09-01,0405,PAPA JOHN'S #206,Dining,72.00,
2023-08-31,2023-09-01,0405,TST* LISTERMANN BREWING C,Dining,7.50,
2023-08-31,2023-08-31,5261,BARK&CO (BARKBOX),Merchandise,8.48,
2023-08-29,2023-08-31,5261,MARIA & ENZOS,Dining,48.47,
2023-08-29,2023-08-31,5261,KROGER #5224,Merchandise,54.53,
2023-08-30,2023-08-31,0013,WASHINGTON U STL,Other,40.00,
2023-08-30,2023-08-31,0013,NEW EARTH FARM,Other Services,12.00,
2023-08-30,2023-08-31,0013,SQ *GIOIA'S DELI ON THE H,Dining,14.68,
2023-08-28,2023-08-30,5261,SPIRIT AIRL 4870361219447,Airfare,57.00,
2023-08-28,2023-08-30,5261,FRONTERA COCINA,Dining,42.15,
2023-08-28,2023-08-30,5261,WDW CONCH FLATS,Merchandise,9.60,
2023-08-28,2023-08-30,5261,WDW CONCH FLATS,Merchandise,4.39,
2023-08-29,2023-08-30,0405,APPLE.COM/BILL,Entertainment,3.17,
2023-08-28,2023-08-29,5261,FANDANGO,Entertainment,3.27,
2023-08-27,2023-08-29,5261,SKY ASIAN BISTRO MARKET,Merchandise,19.42,
2023-08-27,2023-08-29,5261,COAL'S ARTISAN PIZ SDF,Dining,4.29,
2023-08-27,2023-08-29,5261,WDW CONCH FLATS,Merchandise,3.57,
2023-08-27,2023-08-29,5261,WDW OLIVIA'S CAFE,Dining,25.49,
2023-08-27,2023-08-29,0013,2ENTERPRISECTR,Dining,13.28,
2023-08-28,2023-08-29,0405,WF WAYFAIR3964896559,Merchandise,86.23,
2023-08-27,2023-08-29,0405,STARBUCKS 800-782-7282,Dining,5.25,
2023-08-28,2023-08-28,5261,IC* INSTACART*159,Merchandise,43.60,
2023-08-28,2023-08-28,5261,IC* INSTACART*159,Merchandise,1.00,
2023-08-27,2023-08-28,5261,ATT*BILL PAYMENT,Phone/Cable,113.66,
2023-08-27,2023-08-28,5261,LYFT   *RIDE SUN 4PM,Other Travel,46.76,
2023-08-26,2023-08-28,5261,BLUE DOG BAKERY & CAFE,Dining,13.80,
2023-08-27,2023-08-28,5261,LYFT   *RIDE SUN 8AM,Other Travel,22.10,
2023-08-27,2023-08-28,0405,HOMEGOODS #0116,Merchandise,3.22,
2023-08-27,2023-08-28,0405,KROGER #465,Merchandise,22.36,
2023-08-26,2023-08-28,5261,THE NAIL BOX,Other Services,35.00,
2023-08-25,2023-08-28,5261,COALS ARTISAN PIZZA - LOU,Dining,20.02,
2023-08-26,2023-08-28,5261,SQ *CON HUEVOS! - FRANKFO,Dining,50.22,
2023-08-26,2023-08-28,0405,KROGER #418,Merchandise,19.39,
2023-08-26,2023-08-28,0405,KROGER #418,Merchandise,3.99,
2023-08-25,2023-08-26,5261,KY JEFFERSON COUNTY CLERK,Other Services,367.99,
2023-08-25,2023-08-26,5261,KROGER #387,Merchandise,21.14,
2023-08-24,2023-08-26,0013,UNIVERSITY OF HEALTH SCIE,Dining,5.32,
2023-08-25,2023-08-25,5261,APPLE.COM/BILL,Entertainment,2.99,
2023-08-25,2023-08-25,5261,Amazon Music*T35S74NW2,Entertainment,5.29,
2023-08-24,2023-08-25,5261,SNACK SODA VENDING,Dining,1.75,
